n,score
640,33816
641,31768
642,22100
643,35436
644,36716
645,35896
646,56448
647,36176
648,40500
649,36572
650,35908
651,36164
652,36240
653,34036
654,34396
655,33668
656,34476
657,35560
658,36020
659,61044
660,26740
661,33668
662,34688
663,21848
664,67624
665,35216
666,31148
667,16008
668,12096
669,36048
670,3368
671,35332
672,58496
673,34112
674,34984
675,51608
676,67628
677,35144
678,56452
679,40680
680,35080
681,31908
682,30612
683,36848
684,34384
685,23420
686,27848
687,36232
688,36140
689,35868
690,32512
691,35816
692,34736
693,36184
694,14468
695,21400
696,38468
697,33852
698,43124
699,14468
700,45544
701,31896
702,7484
703,35476
704,25760
705,35756
706,50080
707,27128
708,35348
709,24460
710,7088
711,12932
712,31472
713,36212
714,30596
715,16072
716,27408
717,36644
718,36132
719,35452
720,14160
721,58932
722,26404
723,35992
724,34576
725,31584
726,30696
727,31412
728,34468
729,35648
730,33668
731,14728
732,34712
733,39284
734,35192
735,34500
736,36768
737,34556
738,13800
739,36112
740,32140
741,35924
742,37804
743,32232
744,36024
745,32212
746,36184
747,27320
748,36156
749,30020
750,34056
751,30500
752,31148
753,27776
754,35540
755,22784
756,15756
757,50520
758,35548
759,59060
760,35812
761,12320
762,31956
763,5788
764,3296
765,35892
766,36120
767,34512
768,64416
769,33768
770,15088
771,28956
772,36472
773,32204
774,36096
775,36668
776,34096
777,34388
778,34700
779,27516
780,35472
781,31332
782,36080
783,31888
784,35800
785,18340
786,32004
787,29336
788,35988
789,35212
790,15436
791,12296
792,31964
793,16880
794,32152
795,35416
796,32504
797,38760
798,35256
799,33708
800,32096
801,21248
802,35688
803,35624
804,33720
805,55360
806,14672
807,41828
808,35392
809,34132
810,35392
811,27812
812,36176
813,16228
814,26888
815,32676
816,32636
817,15776
818,36424
819,71436
820,15788
821,34052
822,21452
823,35784
824,34404
825,33820
826,31388
827,39548
828,36184
829,16020
830,14340
831,36732
832,32552
833,27700
834,30128
835,36264
836,31072
837,35676
838,25404
839,60372
840,32808
841,15936
842,33752
843,32468
844,30488
845,35912
846,34192
847,35384
848,35344
849,35408
850,46024
851,32484
852,31544
853,27120
854,33644
855,35480
856,33676
857,35496
858,62644
859,67684
860,35420
861,17060
862,48028
863,31752
864,59616
865,5784
866,21956
867,36172
868,32416
869,35928
870,9856
871,41096
872,34408
873,35836
874,5700
875,26924
876,36420
877,35492
878,14648
879,31928
880,35092
881,16356
882,32112
883,62960
884,36408
885,32892
886,36060
887,14616
888,35836
889,33956
890,35716
891,31764
892,34820
893,30716
894,36400
895,35528
896,32628
897,46116
898,31252
899,23284
900,36468
901,35704
902,27200
903,35464
904,28840
905,35720
906,31232
907,56340
908,31864
909,44216
910,35904
911,27780
912,32360
913,45760
914,30820
915,53536
916,16268
917,34492
918,35888
919,34592
920,35476
921,33356
922,35280
923,35624
924,18192
925,30472
926,35836
927,32120
928,18908
929,36316
930,36904
931,36164
932,22132
933,21800
934,34436
935,12172
936,32840
937,26840
938,24800
939,56760
940,36216
941,32892
942,54488
943,28168
944,35612
945,29140
946,33792
947,7612
948,35692
949,15612
950,54528
951,58624
952,53708
953,29688
954,33760
955,27232
956,64300
957,34704
958,34204
959,32216
960,23372
961,30928
962,35952
963,58912
964,35520
965,17024
966,25640
967,33776
968,34412
969,32808
970,32252
971,35752
972,47340
973,36068
974,36252
975,31064
976,34316
977,15292
978,15916
979,36132
980,35164
981,32912
982,25124
983,32464
984,59588
985,36296
986,25524
987,49680
988,39116
989,33288
990,35832
991,35344
992,36080
993,35496
994,36176
995,25044
996,33228
997,34328
998,35456
999,36740
1000,14032
1001,35552
1002,34044
1003,32248
1004,26868
1005,27012
1006,31948
1007,34532
1008,36172
1009,34148
1010,31728
1011,28840
1012,34380
1013,30672
1014,35132
1015,35364
1016,43340
1017,16064
1018,32204
1019,36436
1020,26740
1021,32604
1022,34016
1023,35744
1024,31016
1025,35752
1026,25504
1027,34428
1028,35188
1029,32412
1030,51176
1031,32000
1032,35492
1033,12204
1034,35264
1035,34824
1036,16260
1037,50820
1038,30492
1039,36396
1040,23496
1041,16896
1042,35924
1043,15156
1044,34012
1045,71004
1046,36144
1047,35936
1048,32036
1049,27212
1050,70084
1051,36056
1052,33724
1053,32148
1054,32904
1055,29200
1056,35528
1057,34644
1058,35372
1059,36088
1060,36128
1061,36136
1062,27084
1063,32396
1064,35748
1065,25540
1066,5324
1067,16116
1068,29912
1069,47856
1070,30480
1071,35380
1072,26788
1073,36092
1074,36112
1075,27884
1076,29652
1077,29680
1078,25164
1079,16048
1080,34264
1081,31932
1082,36164
1083,36176
1084,33960
1085,27768
1086,35832
1087,35636
1088,33776
1089,34488
1090,62388
1091,35140
1092,35440
1093,35656
1094,34472
1095,35404
1096,62912
1097,39284
1098,35328
1099,30504
1100,26160
1101,29008
1102,35936
1103,35124
1104,12228
1105,25500
1106,6500
1107,35824
1108,27092
1109,35776
1110,27948
1111,36840
1112,47188
1113,30500
1114,32576
1115,6108
1116,36284
1117,36568
1118,32072
1119,35964
1120,59628
1121,35444
1122,36132
1123,14268
1124,36228
1125,36772
1126,36180
1127,21884
1128,25736
1129,40196
1130,35492
1131,40624
1132,34540
1133,16116
1134,14624
1135,35680
1136,35288
1137,32252
1138,14636
1139,16692
1140,34324
1141,47044
1142,32060
1143,24928
1144,27256
1145,29668
1146,60456
1147,53928
1148,14172
1149,35324
1150,27348
1151,32084
1152,36048
1153,57968
1154,32140
1155,34480
1156,16832
1157,33716
1158,32428
1159,29968
1160,29636
1161,33028
1162,26712
1163,36152
1164,31956
1165,39640
1166,16104
1167,34080
1168,35420
1169,34356
1170,35980
1171,59616
1172,35380
1173,21584
1174,35564
1175,26540
1176,28712
1177,28784
1178,30516
1179,35832
1180,31432
1181,36232
1182,35880
1183,15796
1184,31816
1185,37636
1186,31892
1187,35096
1188,34116
1189,16352
1190,54224
1191,34004
1192,25392
1193,34684
1194,62912
1195,36924
1196,34500
1197,35868
1198,35488
1199,28896
1200,51016
1201,32020
1202,30484
1203,34288
1204,35740
1205,51364
1206,34620
1207,34788
1208,12188
1209,21744
1210,16764
1211,14524
1212,30388
1213,52336
1214,34660
1215,36220
1216,34484
1217,32204
1218,35688
1219,35448
1220,34720
1221,14384
1222,35412
1223,53928
1224,36056
1225,31132
1226,37460
1227,20112
1228,16036
1229,30424
1230,34384
1231,33920
1232,33884
1233,34384
1234,35620
1235,31468
1236,35920
1237,31264
1238,34448
1239,13324
1240,36020
1241,32888
1242,31568
1243,32756
1244,6804
1245,36860
1246,36252
1247,33784
1248,36048
1249,33612
1250,27808
1251,27596
1252,35540
1253,29420
1254,11920
1255,31544
1256,31720
1257,16056
1258,34260
1259,12380
1260,30472
1261,31596
1262,16636
1263,35952
1264,23236
1265,36004
1266,36100
1267,36120
1268,33604
1269,40040
1270,35388
1271,32260
1272,26484
1273,36036
1274,32412
1275,32624
1276,12104
1277,35956
1278,36124
1279,24232
1280,39528
1281,30484
1282,20996
1283,35996
1284,34252
1285,14520
1286,58232
1287,27124
1288,14480
1289,38724
1290,35752
1291,34744
1292,32160
1293,35464
1294,27196
1295,24272
1296,32040
1297,31920
1298,34536
1299,35780
1300,26956
1301,34536
1302,34152
1303,23292
1304,56192
1305,25400
1306,35444
1307,31408
1308,59944
1309,35904
1310,35408
1311,32152
1312,35016
1313,31576
1314,32164
1315,29016
1316,26408
1317,60064
1318,33724
1319,32440
1320,32180
1321,31424
1322,33928
1323,15308
1324,35436
1325,34128
1326,71260
1327,35116
1328,5732
1329,27188
1330,49564
