n,score
7221,31116
7222,34544
7223,34428
7224,16804
7225,57448
7226,14564
7227,62988
7228,35872
7229,35492
7230,33476
7231,32272
7232,30472
7233,25532
7234,69000
7235,39060
7236,16344
7237,30628
7238,35940
7239,36116
7240,34336
7241,34440
7242,21740
7243,33632
7244,36600
7245,35112
7246,31640
7247,27352
7248,30260
7249,36972
7250,35368
7251,55264
7252,36164
7253,27328
7254,15280
7255,39236
7256,34484
7257,28904
7258,27516
7259,60164
7260,32100
7261,36120
7262,34484
7263,33636
7264,32092
7265,34008
7266,34252
7267,32228
7268,59616
7269,33664
7270,35384
7271,25784
7272,33856
7273,33636
7274,27604
7275,36164
7276,32296
7277,34668
7278,28152
7279,40832
7280,9788
7281,36172
7282,36112
7283,53184
7284,31892
7285,35528
7286,21352
7287,55024
7288,20680
7289,15672
7290,43284
7291,25412
7292,35940
7293,31188
7294,16380
7295,12164
7296,35972
7297,33668
7298,68260
7299,32272
7300,36196
7301,34108
7302,32252
7303,14516
7304,35328
7305,34504
7306,27588
7307,27896
7308,12120
7309,34336
7310,26668
7311,34188
7312,34408
7313,29832
7314,7176
7315,14728
7316,27224
7317,34224
7318,14444
7319,34752
7320,32036
7321,30636
7322,27876
7323,36056
7324,32428
7325,34424
7326,56156
7327,35240
7328,35780
7329,23248
7330,9392
7331,35444
7332,15964
7333,31364
7334,7148
7335,11464
7336,36296
7337,35764
7338,35396
7339,27876
7340,35116
7341,11524
7342,40128
7343,35184
7344,58908
7345,36004
7346,33336
7347,27256
7348,59208
7349,35944
7350,30872
7351,27236
7352,16040
7353,34484
7354,9700
7355,16104
7356,47136
7357,35256
7358,32004
7359,25680
7360,35140
7361,33696
7362,25588
7363,23448
7364,36072
7365,41156
7366,14456
7367,34388
7368,34864
7369,33876
7370,35560
7371,35768
7372,36248
7373,32972
7374,64272
7375,36512
7376,32404
7377,25744
7378,14688
7379,55980
7380,27176
7381,32552
7382,55628
7383,62676
7384,32296
7385,35120
7386,36152
7387,36412
7388,33888
7389,7088
7390,27188
7391,56632
7392,35000
7393,32396
7394,16240
7395,33632
7396,35924
7397,35800
7398,47044
7399,39520
7400,20096
7401,35384
7402,44836
7403,55956
7404,5852
7405,14468
7406,35484
7407,35684
7408,31992
7409,21588
7410,24852
7411,32112
7412,32160
7413,34792
7414,16736
7415,32112
7416,34244
7417,35860
7418,49828
7419,29692
7420,39464
7421,27184
7422,32460
7423,34780
7424,34564
7425,35820
7426,40092
7427,33788
7428,12136
7429,36012
7430,34724
7431,32496
7432,51476
7433,27556
7434,15696
7435,36228
7436,35196
7437,33576
7438,35836
7439,33708
7440,30504
7441,35288
7442,35772
7443,35948
7444,31060
7445,36560
7446,36092
7447,21836
7448,35452
7449,34436
7450,35860
7451,34468
7452,36096
7453,49444
7454,11896
7455,32468
7456,76004
7457,35964
7458,65084
7459,27244
7460,7072
7461,14460
7462,16836
7463,26408
7464,35360
7465,15328
7466,60384
7467,36792
7468,67144
7469,36080
7470,35140
7471,27572
7472,27160
7473,31784
7474,36336
7475,34940
7476,23492
7477,35936
7478,14564
7479,32236
7480,10356
7481,35192
7482,32268
7483,34184
7484,35040
7485,27076
7486,14564
7487,56624
7488,36276
7489,32096
7490,36284
7491,35216
7492,27084
7493,35908
7494,30824
7495,7228
7496,30752
7497,35312
7498,14684
7499,36836
7500,26548
7501,36628
7502,35940
7503,33988
7504,32520
7505,35332
7506,36152
7507,34068
7508,30556
7509,34536
7510,60388
7511,34464
7512,14316
7513,15056
7514,30960
7515,52936
7516,16200
7517,34868
7518,50680
7519,34444
7520,34452
7521,33696
7522,36060
7523,35608
7524,32236
7525,26736
7526,32288
7527,16608
7528,16172
7529,34612
7530,33436
7531,51812
7532,36204
7533,31412
7534,42296
7535,25408
7536,34552
7537,34712
7538,33616
7539,13604
7540,34768
7541,65268
7542,36064
7543,14732
7544,35996
7545,39268
7546,36132
7547,32568
7548,36312
7549,38420
7550,32328
7551,16192
7552,55656
7553,34952
7554,33880
7555,34376
7556,34368
7557,15020
7558,35428
7559,52052
7560,32572
7561,36088
7562,12256
7563,34384
7564,35344
7565,71748
7566,36072
7567,33916
7568,68628
7569,35420
7570,36180
7571,31848
7572,38668
7573,34884
7574,35968
7575,35904
7576,30428
7577,59636
7578,36884
7579,32456
7580,32196
7581,49312
7582,35484
7583,30052
7584,32212
7585,32252
7586,35296
7587,36068
7588,15108
7589,34336
7590,32232
7591,33888
7592,25612
7593,34092
7594,36960
7595,34516
7596,32308
7597,27308
7598,35496
7599,60348
7600,30480
7601,35412
7602,66180
7603,31284
7604,16012
7605,36076
7606,65480
7607,35460
7608,19000
7609,35144
7610,35340
7611,35292
7612,14036
7613,14404
7614,34412
7615,34588
7616,33596
7617,30984
7618,34496
7619,66036
7620,35332
7621,36372
7622,31692
7623,20308
7624,35584
7625,33772
7626,35488
7627,38204
7628,34808
7629,27612
7630,30520
7631,17068
7632,32984
7633,36112
7634,36112
7635,32140
7636,36144
7637,36968
7638,27184
7639,28768
7640,50680
7641,31148
7642,7124
7643,37372
7644,34404
7645,13720
7646,36100
7647,7108
7648,33152
7649,46552
7650,25228
7651,34036
7652,36240
7653,34772
7654,7216
7655,17532
7656,60240
7657,26436
7658,36192
7659,16544
7660,35860
7661,23132
7662,36192
7663,11112
7664,11876
7665,34412
7666,13680
7667,59816
7668,30472
7669,30488
7670,34776
7671,32092
7672,15156
7673,33660
7674,35860
7675,29856
7676,35816
7677,17948
7678,12280
7679,30576
7680,35532
7681,26848
7682,37124
7683,7400
7684,35380
7685,31748
7686,27708
7687,35312
7688,5248
7689,11880
7690,34572
7691,55080
7692,32768
7693,47332
7694,27312
7695,30748
7696,34836
7697,31396
7698,40192
7699,31612
7700,36304
7701,36140
7702,33888
7703,14632
7704,35456
7705,34180
7706,30736
7707,7140
7708,35708
7709,23276
7710,66292
7711,35272
7712,30468
7713,30440
7714,31148
7715,9664
7716,29912
7717,66080
7718,51356
7719,32212
7720,47692
7721,34428
7722,30400
7723,34684
7724,16196
7725,31532
7726,34492
7727,35608
7728,34312
7729,46304
7730,35816
7731,34896
7732,33564
7733,35280
7734,35116
7735,26956
7736,35860
7737,10864
7738,28432
7739,36308
7740,31908
7741,32432
7742,26112
7743,36040
7744,25528
7745,10632
7746,27168
7747,21848
7748,34516
7749,5752
7750,35464
7751,32832
7752,7104
7753,34448
7754,42812
7755,44960
7756,35804
7757,26544
7758,15156
7759,36816
7760,45484
7761,35196
7762,35296
7763,35816
7764,35448
7765,15724
7766,35504
7767,10164
7768,35304
7769,14216
7770,35720
7771,30016
7772,14316
7773,27276
7774,15424
7775,14384
7776,35300
7777,54316
7778,30572
7779,35200
7780,16192
7781,32940
7782,67792
7783,26364
7784,26844
7785,33896
7786,27064
7787,10084
7788,36056
7789,34236
7790,27276
7791,31344
7792,33860
7793,27140
7794,38168
7795,35992
7796,56084
7797,35892
7798,35084
7799,12144
7800,36836
7801,14452
7802,20348
7803,33988
7804,34456
7805,35480
7806,33956
7807,35656
7808,36180
7809,56228
7810,29712
7811,61864
7812,27284
7813,30788
7814,35752
7815,32016
7816,12024
7817,36080
7818,21776
7819,26364
7820,36204
7821,34124
7822,60276
7823,26776
7824,32192
7825,65692
7826,23320
7827,35548
7828,35440
7829,34188
7830,35656
7831,12296
7832,35540
7833,38364
7834,32924
7835,1820
7836,33928
7837,39904
7838,34656
7839,34072
7840,14620
7841,55620
7842,32192
7843,15988
7844,50716
7845,35592
7846,32200
7847,37584
7848,30392
7849,32020
7850,36116
7851,31436
7852,61992
7853,30716
7854,49028
7855,16024
7856,27176
7857,35368
7858,34396
7859,35976
7860,35396
7861,35952
7862,34920
7863,36264
7864,22688
7865,34560
7866,38696
7867,32268
7868,34364
7869,14520
7870,7176
7871,33508
7872,7384
7873,56324
7874,64424
7875,34208
7876,14476
7877,15732
7878,65364
7879,34740
7880,16140
7881,30960
7882,34292
7883,14680
7884,33712
7885,27400
7886,35292
7887,34880
7888,31468
7889,12224
7890,35956
7891,35412
7892,12184
7893,51592
7894,32196
7895,46800
7896,25672
7897,34196
7898,53584
7899,34688
7900,51224
7901,35832
7902,36148
7903,51116
7904,36308
7905,12244
7906,32204
7907,30704
7908,35592
7909,35756
7910,23352
7911,54952
7912,30388
7913,29304
7914,34408
7915,54720
7916,35860
7917,21064
7918,35132
7919,35244
7920,34488
7921,60080
7922,36568
7923,36104
7924,16080
7925,69264
7926,34468
7927,33816
7928,51620
7929,51716
7930,33536
7931,15544
7932,52032
7933,31608
7934,35828
7935,29712
7936,44928
7937,32316
7938,35960
7939,35384
7940,24944
7941,32564
7942,12428
7943,13492
7944,32364
7945,12292
7946,63664
7947,59292
7948,51408
7949,16608
7950,27740
7951,31160
7952,35220
7953,28384
7954,32188
7955,35788
7956,27260
7957,36560
7958,14400
7959,37048
7960,60168
7961,35404
7962,32096
7963,33384
7964,25532
7965,21672
7966,64740
7967,23520
7968,35456
7969,35712
7970,32864
7971,17452
7972,31848
7973,35536
7974,16044
7975,7460
7976,35412
7977,36372
7978,36236
7979,35792
7980,36400
7981,36040
7982,23508
7983,36216
7984,12300
7985,34804
7986,34368
7987,35324
7988,30868
7989,16148
7990,33840
7991,19196
7992,35236
7993,34192
7994,35300
7995,36940
7996,27112
7997,9756
7998,34452
7999,32320
8000,32968
8001,34476
8002,14340
8003,24768
8004,36264
8005,32156
8006,35172
8007,30200
8008,15396
8009,51804
8010,58668
8011,15692
8012,35824
8013,63568
8014,36068
8015,25020
8016,35256
8017,16140
8018,51344
8019,38436
8020,33496
8021,34008
8022,32124
8023,58724
8024,30192
8025,21636
8026,36320
8027,34220
8028,34288
8029,33180
8030,33764
8031,35284
8032,38296
8033,35744
8034,34168
8035,34552
8036,26336
8037,35556
8038,36104
8039,36188
8040,35692
8041,36008
8042,34528
8043,30712
8044,27976
8045,25352
8046,34092
8047,60572
8048,48292
8049,35968
8050,32164
8051,32732
8052,37960
8053,12248
8054,25700
8055,34228
8056,14168
8057,7196
8058,30460
8059,16924
8060,27308
8061,23212
8062,59352
8063,48976
8064,35740
8065,35500
8066,30844
8067,30504
8068,7112
8069,36012
8070,60108
8071,35796
8072,35124
8073,38416
8074,30484
8075,31744
8076,29260
8077,32228
8078,12384
8079,25692
8080,26796
8081,15916
8082,33664
8083,62576
8084,35492
8085,35160
8086,36016
8087,34548
8088,36168
8089,55316
8090,6216
8091,26808
8092,12276
8093,36200
8094,35992
8095,47212
8096,36084
8097,16304
8098,8704
8099,34736
8100,36004
8101,34580
8102,37548
8103,3464
8104,23096
8105,36444
8106,35420
8107,12208
8108,34568
8109,34872
8110,35536
8111,35556
8112,35884
8113,34832
8114,16348
8115,35508
8116,33836
8117,35216
8118,32172
8119,25756
8120,55316
8121,62608
8122,39380
8123,21768
8124,33560
8125,7204
8126,35772
8127,36012
8128,30184
8129,48300
8130,23292
8131,31468
8132,35428
8133,14468
8134,25684
8135,14344
8136,58964
8137,30672
8138,34388
8139,3660
8140,7100
8141,30160
8142,31376
8143,28904
8144,7152
8145,15944
8146,33804
8147,30888
8148,21784
8149,36080
8150,33664
8151,35588
8152,34784
8153,34528
8154,34360
8155,34696
8156,8360
8157,33008
8158,27152
8159,53376
8160,34296
8161,7204
8162,35676
8163,32304
8164,14396
8165,12212
8166,32064
8167,33768
8168,14392
8169,18472
8170,34604
8171,34924
8172,36112
8173,34560
8174,28640
8175,64180
8176,34540
8177,36204
8178,64800
8179,32372
8180,40960
8181,36124
8182,27460
8183,34436
8184,28648
8185,35180
8186,27288
8187,25748
8188,29700
8189,27260
8190,34064
8191,35504
8192,34656
8193,60348
8194,68144
8195,34552
8196,16160
8197,29916
8198,12208
8199,36948
8200,15436
8201,35560
8202,44588
8203,35208
8204,27136
8205,21456
8206,49608
8207,34672
8208,5776
8209,36588
8210,26716
8211,18328
8212,50832
8213,34264
8214,50124
8215,36076
8216,2488
8217,60764
8218,35864
8219,36000
8220,39196
8221,872
8222,37940
8223,30496
8224,37536
8225,31000
8226,30116
8227,29816
8228,63296
8229,32112
8230,5880
8231,29108
8232,12164
8233,33848
8234,30728
8235,26900
8236,36128
8237,23500
8238,29892
8239,36200
8240,36084
8241,31556
8242,34456
8243,56152
8244,35884
8245,14464
8246,33044
8247,27020
8248,7200
8249,34776
8250,54400
8251,32868
8252,28300
8253,34348
8254,56980
8255,65188
8256,25636
8257,54628
8258,35132
8259,11400
8260,54852
8261,36248
8262,68440
8263,16856
8264,32072
8265,36164
8266,35336
8267,28784
8268,12104
8269,30804
8270,27120
8271,36052
8272,35892
8273,27992
8274,32236
8275,33436
8276,55400
8277,30808
8278,59940
8279,35360
8280,27128
8281,16040
8282,18544
8283,31504
8284,31560
8285,11156
8286,32420
8287,35420
8288,27380
8289,35484
8290,30812
8291,35324
8292,68316
8293,36420
8294,36088
8295,60684
8296,35380
8297,56408
8298,15576
8299,11468
8300,16092
8301,35040
8302,32256
8303,36004
8304,36212
8305,27372
8306,35796
8307,36140
8308,31916
8309,35428
8310,31144
8311,35960
8312,31216
8313,26388
8314,32300
8315,34604
8316,14960
8317,23472
8318,35340
8319,25660
8320,34276
8321,35208
8322,54864
8323,69388
8324,42260
8325,34100
8326,21088
8327,32140
8328,35808
8329,35620
8330,32504
8331,34368
8332,33888
8333,31920
8334,35856
8335,30512
8336,33324
8337,34400
8338,15648
8339,34500
8340,35604
8341,34464
8342,36764
8343,12288
8344,14408
8345,15456
8346,30636
8347,14376
8348,32172
8349,31652
8350,10368
8351,32096
8352,36208
8353,23872
8354,34480
8355,35916
8356,31976
8357,34604
8358,35972
8359,22144
8360,27224
8361,16640
8362,35456
8363,12188
8364,33964
8365,51320
8366,64000
8367,35448
8368,31156
8369,26420
8370,36112
8371,35788
8372,35784
8373,59476
8374,35676
8375,23944
8376,26256
8377,32408
8378,31780
8379,35528
8380,35372
8381,35164
8382,37884
8383,30564
8384,8460
8385,34620
8386,22836
8387,32500
8388,1780
8389,35700
8390,16120
8391,33700
8392,46492
8393,61916
8394,14312
8395,35620
8396,34444
8397,35320
8398,36404
8399,5932
8400,50180
8401,33524
8402,35764
8403,46604
8404,10720
8405,36740
8406,16760
8407,34632
8408,32112
8409,33540
8410,34896
8411,32256
8412,32116
8413,35840
8414,21768
8415,12184
8416,31868
8417,35828
8418,7392
8419,35916
8420,32040
8421,67740
8422,34524
8423,57664
8424,30816
8425,67472
8426,34312
8427,31412
8428,34444
8429,49524
8430,51988
8431,35392
8432,32596
8433,35740
8434,35460
8435,35764
8436,31468
8437,34384
8438,35404
8439,74292
8440,35876
8441,67248
8442,15640
8443,30852
8444,28780
8445,35572
8446,19248
8447,27140
8448,31740
8449,37204
8450,27564
8451,30432
8452,50440
8453,45636
8454,34192
8455,40040
8456,1580
8457,31312
8458,33684
8459,36024
8460,31524
8461,15796
8462,40552
8463,35096
8464,41420
8465,14492
8466,35408
8467,26352
8468,35872
8469,34452
8470,32892
8471,59180
8472,36180
8473,27844
8474,34584
8475,8580
8476,6136
8477,51524
8478,20884
8479,35360
8480,67576
8481,36576
8482,35100
8483,32908
8484,34576
8485,32408
8486,26520
8487,25720
8488,36180
8489,55300
8490,27084
8491,35196
8492,35428
8493,15400
8494,25836
8495,28052
8496,16972
8497,28568
8498,34440
8499,32288
8500,34744
8501,25548
8502,23056
8503,36352
8504,34504
8505,55536
8506,39484
8507,34620
8508,47436
8509,23268
8510,34712
8511,32160
8512,34256
8513,25472
8514,32208
8515,14316
8516,34388
8517,34740
8518,36240
8519,35748
8520,43224
8521,58664
8522,32468
8523,23864
8524,31188
8525,55936
8526,41144
8527,36088
8528,37564
8529,48708
8530,28080
8531,23080
8532,35912
8533,33836
8534,31324
8535,36388
8536,5736
8537,35964
8538,32188
8539,55152
8540,35464
8541,35592
8542,32072
8543,17392
8544,34788
8545,33572
8546,36676
8547,32204
8548,30412
8549,43532
8550,35076
8551,16744
8552,35504
8553,30944
8554,67528
8555,33824
8556,35444
8557,35528
8558,35292
8559,36748
8560,34372
8561,20472
8562,23616
8563,14320
8564,35908
8565,39204
8566,26080
8567,8148
8568,35872
8569,35648
8570,32148
8571,32436
8572,27688
8573,34316
8574,32120
8575,34328
8576,53912
8577,36096
8578,32288
8579,35200
8580,35212
8581,12192
8582,14624
8583,35088
8584,33664
8585,34668
8586,35836
8587,35380
8588,36516
8589,36532
8590,35864
8591,24668
8592,35416
8593,22540
8594,31904
8595,32200
8596,15484
8597,62832
8598,21664
8599,35380
8600,35744
8601,60804
8602,36148
8603,33976
8604,47240
8605,15776
8606,27056
8607,60252
8608,43164
8609,35488
8610,32896
8611,23860
8612,31776
8613,37324
8614,32788
8615,69112
8616,14464
8617,7436
8618,17748
8619,35188
8620,32132
8621,35120
8622,27176
8623,35160
8624,23360
8625,15900
8626,13856
8627,35340
8628,35848
8629,12192
8630,46424
8631,36184
8632,34528
8633,14500
8634,40100
8635,34292
8636,34524
8637,14076
8638,62796
8639,12216
8640,35844
8641,33264
8642,65896
8643,12176
8644,31532
8645,33792
8646,30444
8647,38360
8648,30508
8649,34968
8650,27176
8651,37836
8652,27240
8653,35688
8654,19204
8655,71128
8656,35220
8657,68240
8658,33780
8659,34676
8660,37468
8661,30792
8662,35852
8663,30508
8664,44500
8665,58384
8666,35744
8667,35136
8668,35488
8669,7192
8670,38244
8671,34344
8672,34008
8673,33432
8674,36064
8675,15828
8676,35944
8677,36104
8678,30972
8679,33412
8680,51532
8681,34304
8682,34396
8683,35384
8684,35448
8685,36212
8686,15108
8687,26708
8688,34068
8689,35448
8690,35424
8691,39972
8692,12164
8693,35436
8694,9896
8695,32272
8696,34516
8697,71396
8698,12244
8699,7196
8700,35376
8701,34456
8702,35860
8703,29344
8704,68392
8705,57468
8706,35656
8707,31936
8708,34380
8709,31764
8710,17208
8711,26492
8712,56032
8713,11460
8714,34952
8715,15736
8716,35356
8717,56456
8718,30472
8719,34600
8720,27152
8721,23108
8722,34572
8723,27256
8724,36224
8725,35344
8726,27600
8727,15604
8728,16428
8729,34308
8730,44808
8731,21528
8732,31528
8733,34384
8734,51652
8735,47948
8736,30444
8737,38112
8738,29476
8739,9736
8740,34720
8741,14388
8742,35640
8743,29920
8744,24080
8745,36376
8746,27220
8747,36288
8748,34084
8749,30024
8750,32512
8751,39812
8752,56460
8753,32348
8754,35820
8755,36808
8756,35820
8757,33868
8758,35380
8759,32532
8760,27116
8761,34564
8762,27184
8763,34300
8764,30360
8765,14484
8766,25180
8767,36496
8768,33768
8769,59692
8770,34988
8771,32916
8772,32568
8773,30424
8774,30084
8775,35668
8776,16040
8777,32108
8778,32112
8779,31012
8780,36420
8781,26704
8782,32208
8783,15332
8784,14696
8785,34732
8786,35348
8787,35192
8788,37708
8789,16832
8790,34612
8791,33840
8792,35816
8793,16184
8794,35824
8795,23276
8796,35888
8797,33776
8798,50784
8799,5632
8800,26776
8801,34736
8802,12036
8803,34472
8804,36336
8805,36048
8806,27092
8807,36020
8808,51924
8809,5212
8810,36516
8811,25968
8812,33928
8813,31752
8814,57816
8815,7440
8816,35560
8817,36204
8818,33764
8819,33760
8820,26856
8821,35832
8822,35412
8823,28912
8824,60340
8825,3152
8826,38528
8827,14372
8828,35628
8829,32228
8830,34804
8831,30568
8832,35740
8833,14580
8834,21724
8835,32200
8836,12200
8837,32032
8838,49616
8839,22988
8840,31388
8841,37816
8842,15220
8843,42680
8844,772
8845,34024
8846,42644
8847,35952
8848,26464
8849,37192
8850,36428
8851,38408
8852,10748
8853,36132
8854,24828
8855,38880
8856,31564
8857,21564
8858,33636
8859,25264
8860,36120
8861,35308
8862,59356
8863,34176
8864,27356
8865,36072
8866,3120
8867,55164
8868,5792
8869,32304
8870,29524
8871,35904
8872,30256
8873,35756
8874,16064
8875,27332
8876,32060
8877,28780
8878,35928
8879,7148
8880,32072
8881,15960
8882,35152
8883,34932
8884,31496
8885,42648
8886,34124
8887,53624
8888,26920
8889,21500
8890,34320
8891,32840
8892,32236
8893,36052
8894,14992
8895,35208
8896,36212
8897,33064
8898,30868
8899,32292
8900,56604
8901,47420
8902,64044
8903,60432
8904,35848
8905,35844
8906,35588
8907,35872
8908,29976
8909,30596
8910,12172
8911,36076
8912,32904
8913,32040
8914,34328
8915,1372
8916,12252
8917,34748
8918,36160
8919,32308
8920,2492
8921,54692
8922,8548
8923,32556
8924,55444
8925,16004
8926,34628
8927,5580
8928,5896
8929,25888
8930,35080
8931,39144
8932,11912
8933,35988
8934,56900
8935,34464
8936,51792
8937,35500
8938,35352
8939,34360
8940,55356
8941,36156
8942,36228
8943,39992
8944,34828
8945,34568
8946,36316
8947,35452
8948,41172
8949,15952
8950,27400
8951,32460
8952,36308
8953,36184
8954,27168
8955,35936
8956,37716
8957,35360
8958,56636
8959,31344
8960,35812
8961,36264
8962,48724
8963,16076
8964,16232
8965,35184
8966,22464
8967,52576
8968,32032
8969,17108
8970,5972
8971,53624
8972,15600
8973,35828
8974,27948
8975,37736
8976,33752
8977,35080
8978,27916
8979,36388
8980,36036
8981,55116
8982,30028
8983,35552
8984,34556
8985,37108
8986,45184
8987,35620
8988,55588
8989,30996
8990,33896
8991,36024
8992,34276
8993,36256
8994,36256
8995,32200
8996,36232
8997,15384
8998,36240
8999,52848
9000,14508
9001,21464
9002,19700
9003,30176
9004,34744
9005,28132
9006,27492
9007,14100
9008,26732
9009,32240
9010,32152
9011,34436
9012,14412
9013,35816
9014,36084
9015,32464
9016,32464
9017,60372
9018,5540
9019,31268
9020,15336
9021,34548
9022,35828
9023,60296
9024,52628
9025,57484
9026,55220
9027,49956
9028,12200
9029,35412
9030,28956
9031,31628
9032,38852
9033,35188
9034,35008
9035,34416
9036,46912
9037,36208
9038,34608
9039,51440
9040,35244
9041,23420
9042,36404
9043,35840
9044,35932
9045,35668
9046,31444
9047,54636
9048,34496
9049,3312
9050,31452
9051,17504
9052,30396
9053,34828
9054,12224
9055,39112
9056,33848
9057,65824
9058,35344
9059,8872
9060,34112
9061,36004
9062,7276
9063,45392
9064,6884
9065,32788
9066,16128
9067,38224
9068,34920
9069,35160
9070,10368
9071,15284
9072,32116
9073,34412
9074,42348
9075,34924
9076,60416
9077,31864
9078,16200
9079,31852
9080,34460
9081,35744
9082,34208
9083,35476
9084,41100
9085,51324
9086,35360
9087,35288
9088,33400
9089,32212
9090,60752
9091,34556
9092,32800
9093,34596
9094,34684
9095,35752
9096,33672
9097,34476
9098,31972
9099,50696
9100,34656
9101,40624
9102,23144
9103,32244
9104,35632
9105,25528
9106,69972
9107,37524
9108,30508
9109,35568
9110,3492
9111,35268
9112,35792
9113,32232
9114,34180
9115,31672
9116,34052
9117,12216
9118,51496
9119,56768
9120,35444
9121,32208
9122,60904
9123,26756
9124,34160
9125,34432
9126,27144
9127,35192
9128,25520
9129,33672
9130,11192
9131,36404
9132,36244
9133,32604
9134,31416
9135,29560
9136,35532
9137,30148
9138,35640
9139,32268
9140,35216
9141,29404
9142,54052
9143,14732
9144,35996
9145,25684
9146,34256
9147,46348
9148,16908
9149,34556
9150,35436
9151,36036
9152,35464
9153,32452
9154,45304
9155,55384
9156,23436
9157,15648
9158,31992
9159,39984
9160,36036
9161,36184
9162,36624
9163,65064
9164,35516
9165,36428
9166,33632
9167,24712
9168,28868
9169,32468
9170,36044
9171,27460
9172,38336
9173,32912
9174,34244
9175,31496
9176,51216
9177,32492
9178,33216
9179,29024
9180,7124
9181,31444
9182,38432
9183,14380
9184,30436
9185,56376
9186,34216
9187,14400
9188,34436
9189,14488
9190,32372
9191,35968
9192,33676
9193,34324
9194,40308
9195,42664
9196,52652
9197,26500
9198,50800
9199,35472
9200,32880
9201,16120
9202,31148
9203,60368
9204,35720
9205,31524
9206,32396
9207,35404
9208,35308
9209,36456
9210,32536
9211,34384
9212,39824
9213,3516
9214,39536
9215,36160
9216,32956
9217,34156
9218,16112
9219,12264
9220,34248
9221,36184
9222,15684
9223,14612
9224,23424
9225,25488
9226,19680
9227,32096
9228,34564
9229,31676
9230,35060
9231,31820
9232,35028
9233,25516
9234,35780
9235,34424
9236,19420
9237,35280
9238,12416
9239,34464
9240,14412
9241,34608
9242,38472
9243,34772
9244,35868
9245,6832
9246,32984
9247,34336
9248,54764
9249,20928
9250,36064
9251,31824
9252,35872
9253,30816
9254,35400
9255,69820
9256,34868
9257,30284
9258,36580
9259,34440
9260,35892
9261,32428
9262,58132
9263,56732
9264,35676
9265,15336
9266,34620
9267,10220
9268,32812
9269,32960
9270,31264
9271,36132
9272,35816
9273,36172
9274,33800
9275,31944
9276,1604
9277,35872
9278,35388
9279,31580
9280,36112
9281,36272
9282,36524
9283,35960
9284,30296
9285,54240
9286,35464
9287,32552
9288,33724
9289,33116
9290,36076
9291,30736
9292,40632
9293,34900
9294,33904
9295,35348
9296,35928
9297,55540
9298,25048
9299,32164
9300,8912
9301,35488
9302,50316
9303,58788
9304,33684
9305,36796
9306,31860
9307,34444
9308,25564
9309,35044
9310,42692
9311,35868
9312,6624
9313,36164
9314,35192
9315,34256
9316,35644
9317,16048
9318,7176
9319,33560
9320,26544
9321,63664
9322,33956
9323,33312
9324,60528
9325,35556
9326,35156
9327,21880
9328,34444
9329,16392
9330,60396
9331,34476
9332,5308
9333,36116
9334,34360
9335,17924
9336,34364
9337,34632
9338,35564
9339,14428
9340,14716
9341,57600
9342,36248
9343,7188
9344,34488
9345,36216
9346,56800
9347,35708
9348,34220
9349,34368
9350,16016
9351,31032
9352,36064
9353,34284
9354,35336
9355,31464
9356,51404
9357,55616
9358,16212
9359,29968
9360,36188
9361,62692
9362,12220
9363,54248
9364,35328
9365,26712
9366,29552
9367,33932
9368,36296
9369,5360
9370,32152
9371,59044
9372,34728
9373,31888
9374,35612
9375,21708
9376,8460
9377,58620
9378,16148
9379,35980
9380,34260
9381,32184
9382,56800
9383,37568
9384,31816
9385,36112
9386,36352
9387,35276
9388,27244
9389,30364
9390,2764
9391,39312
9392,32476
9393,11364
9394,55276
9395,31876
9396,20244
9397,36324
9398,35492
9399,34528
9400,34148
9401,30116
9402,20380
9403,23716
9404,28604
9405,32340
9406,23148
9407,47748
9408,34800
9409,67380
9410,40372
9411,34204
9412,34564
9413,21296
9414,65380
9415,14384
9416,35528
9417,35404
9418,62200
9419,27180
9420,36976
9421,35772
9422,35344
9423,9392
9424,21112
9425,5376
9426,31204
9427,14416
9428,37168
9429,32604
9430,34732
9431,29404
9432,35192
9433,35456
9434,64316
9435,28084
9436,34968
9437,34484
9438,12264
9439,41168
9440,35480
9441,38336
9442,35080
9443,27508
9444,51508
9445,32148
9446,16992
9447,68032
9448,34336
9449,35156
9450,36136
9451,35564
9452,35788
9453,39108
9454,12196
9455,15924
9456,55512
9457,33692
9458,36988
9459,33268
9460,35720
9461,45096
9462,24736
9463,14460
9464,30036
9465,35388
9466,63808
9467,25316
9468,29972
9469,6740
9470,23440
9471,70336
9472,7520
9473,30612
9474,56396
9475,35264
9476,14260
9477,48616
9478,24488
9479,49840
9480,35236
9481,30496
9482,60564
9483,25792
9484,36480
9485,52508
9486,14680
9487,28992
9488,36720
9489,35464
9490,34672
9491,34120
9492,4072
9493,4836
9494,60536
9495,35564
9496,864
9497,47652
9498,32280
9499,35664
9500,27420
9501,38580
9502,33864
9503,21732
9504,32028
9505,35964
9506,16032
9507,35512
9508,16600
9509,35516
9510,35456
9511,16620
9512,35448
9513,32104
9514,35496
9515,19480
9516,27024
9517,47360
9518,39456
9519,35556
9520,56468
9521,31236
9522,16108
9523,64196
9524,39204
9525,32216
9526,34252
9527,17156
9528,35304
9529,16128
9530,34200
9531,36676
9532,33840
9533,35816
9534,35200
9535,35480
9536,27140
9537,30640
9538,28640
9539,34528
9540,3512
9541,33620
9542,15324
9543,34652
9544,31736
9545,63928
9546,16096
9547,35844
9548,16172
9549,33952
9550,36428
9551,35456
9552,35444
9553,34092
